UserId,Location,Age
3722,"los angeles, california, usa",19.0
88389,"manchester, lancs, united kingdom",44.0
83768,"griesheim, hessen, germany",51.0
3681,"humble, texas, usa",50.0
71729,"osnabrück, niedersachsen, germany",
866,"grenoble, isere, france",29.0
23853,"king of prussia, ,",36.0
5060,"calgary, alberta, canada",55.0
57283,"bend, oregon, usa",
36144,"toronto, ontario, canada",26.0
5416,"aglaura, new jersey, usa",
5105,"harrisburg, ,",
47272,"las cruces, new mexico, usa",24.0
59787,"river forest, illinois, usa",13.0
19605,"sydney, new south wales, australia",15.0
52865,"eugene, oregon, usa",
60881,"new york, new york, usa",
65178,"college station, texas, usa",
57323,"alexandria, virginia, usa",
30556,"san antonio, texas, usa",33.0
51294,"bellefonte, pennsylvania, usa",
45765,"newark, delaware, usa",21.0
88379,"teramo, abruzzo, italy",34.0
84893,"tequesta, florida, usa",
42946,"schaumburg, illinois, usa",16.0
88291,"boston, massachusetts, usa",
71013,"delano, minnesota, usa",56.0
468,"silver spring, maryland, usa",26.0
23545,"vancouver, british columbia, canada",52.0
74214,"covington, louisiana, usa",
60671,"clementon, new jersey, usa",
13588,"lüneburg, niedersachsen, germany",35.0
32938,"san diego, california, usa",
67325,"rowland, north carolina, usa",
18567,"newport news, virginia, usa",
33445,"charles town, west virginia, usa",
12742,"maidstone, england, united kingdom",33.0
42274,"duluth, minnesota, usa",
57392,"sparks, maryland, usa",52.0
48773,"lockhart, texas, usa",
12885,"dallas, texas, usa",26.0
22536,"los angeles, california, usa",
36702,"oakville, ontario, canada",22.0
52581,"burnsville, minnesota, usa",37.0
87843,"norwich, norfolk, united kingdom",19.0
30429,"lincoln, nebraska, usa",38.0
10328,"edmonton, alberta, canada",19.0
26313,"troutdale, oregon, usa",
75158,"hurst, texas, usa",49.0
50783,"eugene, oregon, usa",
84529,"rochester, washington, usa",36.0
30831,"newport news, virginia, usa",
77721,"mt vernon, illinois, usa",
25652,"birmingham, alabama, usa",46.0
29756,"perry, florida, usa",22.0
7954,"needham, massachusetts, usa",
57171,"largo, florida, usa",18.0
43562,"hennef, nrw, germany",
15838,"arvada, colorado, usa",18.0
22209,"astoria, new york, usa",
47198,"saskatoon, saskatchewan, canada",24.0
26020,"fairbanks, alaska, usa",
87337,"london, ontario, canada",
71069,"richmond, missouri, usa",22.0
28452,"calgary, alberta, canada",29.0
46463,"cleveland, , usa",
67185,"lasalle, quebec, canada",23.0
56299,"brooklyn, new york, usa",
84622,"bothell, washington, usa",53.0
4591,"berkeley, ,",22.0
91176,"tigard, oregon, usa",
30728,"kingswood, south australia, australia",46.0
57490,"zaragoza, schleswig-holstein, spain",25.0
6953,"ann arbor, michigan, usa",
86544,"bridgewater, new jersey, usa",19.0
25302,"jericho, vermont, usa",25.0
77913,"smyrna, georgia, usa",22.0
46281,"brier, washington, usa",
83348,"woburn, massachusetts, usa",35.0
42854,"nantes, loire-atlantique, france",22.0
69264,"milwaukee, wisconsin, usa",25.0
31842,"bergisch gladbach ( bensberg), nordrhein-westfalen, germany",20.0
89713,"olympia, washington, usa",27.0
47496,"wauwatosa, wisconsin, usa",17.0
71496,"bielefeld, nordrhein-westfalen, germany",26.0
43963,"oviedo, asturias, spain",32.0
4711,"heidelberg, baden-wuerttemberg, germany",9.0
82400,"storrs, connecticut, usa",23.0
1793,"la mirada, california, usa",38.0
10140,"nürnberg, bayern, germany",39.0
26717,"klang, selangor, malaysia",27.0
58125,"westfield, new jersey, usa",
36601,"stuttgart, baden-württemberg, germany",
72127,"new york, new york, usa",
13976,"rennes, bretagne, france",22.0
51361,"speicher, rheinland-pfalz, germany",30.0
10007,"taiping, perak, malaysia",17.0
84733,"orlando, florida, usa",
12300,"lombard, illinois, usa",22.0
3544,"christchurch, n/a, new zealand",13.0
23620,"ravenna, emilia romagna, italy",27.0
25480,"barbera del valles, barcelona, spain",25.0
2365,"salt spring island, british columbia, canada",
53310,"christchurch, canterbury, new zealand",42.0
37954,"edmonton, alberta, canada",25.0
47280,"dixon, california, usa",
2643,"surrey, british columbia, canada",
35838,"arlington, virginia, usa",44.0
30106,"la, california, usa",
74416,"16605 bennington ct, indiana, usa",26.0
61584,"ottawa, ontario, canada",
47463,"st. paul, minnesota, usa",18.0
83108,"whistler, british columbia, canada",29.0
62531,"el paso, texas, usa",46.0
66962,"roseland, new jersey, usa",39.0
13833,"wiesbaden, hessen, germany",23.0
88628,"antelope, california, usa",
35615,"island lake il., illinois, usa",19.0
42667,"salem, oregon, usa",
8260,"hartford, connecticut, usa",33.0
88087,"perth, western australia, australia",
89311,"long beach, california, usa",
17397,"london, england, united kingdom",32.0
8418,"haddon twp, new jersey, usa",
57401,"victoria, british columbia, canada",
91425,"temple, new hampshire, usa",
28326,"los gatos, california, usa",30.0
88446,"wauwatosa, wisconsin, usa",37.0
14935,"troy, michigan, usa",56.0
27929,"walker, louisiana, usa",28.0
84576,"monza, lombardia, italy",48.0
89996,"torrance, california, usa",63.0
14512,"meggett, south carolina, usa",
29170,"swisttal, nordrhein-westfalen, germany",
6779,"lisboa, n/a, portugal",32.0
63145,"dallas, texas, usa",
63385,"birmingham, england, united kingdom",32.0
22771,"bishop auckland, england, united kingdom",33.0
36939,"new york, new york, usa",
27057,"tallahassee, florida, usa",
90262,"sacramento, california, usa",43.0
24702,"roseville, minnesota, usa",71.0
61978,"houston, texas, usa",14.0
6315,"north hollywood, california, usa",36.0
45551,"wiesbaden, hessen, germany",
86076,"hopewell, virginia, usa",22.0
62417,"cobble hill, , canada",
8022,"frankfurt, hessen, germany",34.0
68093,"dinwiddie, virginia, usa",59.0
22779,"peoria, illinois, usa",
5969,"swansea, massachusetts, usa",20.0
39270,"trenton, michigan, usa",22.0
35804,"santa monica, california, usa",
83519,"santa barbara, california, usa",35.0
43861,"york, maine, usa",41.0
76409,"virginia beach, virginia, usa",26.0
66207,"farmington hills, michigan, usa",74.0
26110,"amherst, new york, usa",22.0
17291,"winston-salem, north carolina, usa",47.0
17455,"widnes, cheshire, united kingdom",25.0
90782,"fort collins, colorado, usa",
57470,"north avoca, new south wales, australia",
9182,"mililani, hawaii, usa",22.0
24330,"woodbridge, california, usa",54.0
3934,"bethel, vermont, usa",
21498,"st. louis, missouri, usa",36.0
54593,"sault ste. marie, ontario, canada",
82707,"tilley, alberta, canada",
78028,"paris, ile de france, france",36.0
72109,"la mesa, california, usa",61.0
71483,"chehalis, washington, usa",
52692,"kolding, none, denmark",0.0
45370,"cologne, nordrhein-westfalen, germany",28.0
76672,"dallas, texas,",
12538,"santiago, santiago, chile",59.0
82370,"new york, new york, usa",
87632,"new york city, new york, usa",
7552,"winfield, pennsylvania, usa",
65988,"eastbourne, england, united kingdom",28.0
5164,"allendale, new jersey, usa",30.0
68118,"montmorency, victoria, australia",75.0
51144,"saint paul, minnesota, usa",23.0
82079,"somerville, massachusetts, usa",20.0
12064,"sheffield, england, united kingdom",22.0
6905,"lawrence, kansas, usa",
53183,"brighton, england, united kingdom",
22140,"sf, california, usa",
44255,"iowa city, iowa, usa",
24628,"cuyahoga falls, ohio, usa",25.0
23363,"oak hill, virginia, usa",40.0
9414,"bloomington, indiana, usa",27.0
56934,"barcelona, barcelona, spain",32.0
70566,"raleigh, north carolina, usa",61.0
57246,"washington, d.c., dc, usa",
31869,"hartsdale, new york, usa",26.0
43962,"chateauguay, quebec, canada",
89702,"virginia beach, virginia, usa",69.0
74847,"calgary, alberta, canada",
26732,"köln, nordrhein-westfalen, germany",25.0
54774,"san jose, san jose, costa rica",
42439,"overland, missouri,",40.0
35444,"overland, missouri, usa",
61838,"brooklyn, new york, usa",28.0
48951,"des moines, washington, usa",
24621,"lincoln, nebraska, usa",29.0
26902,"buena park, california, usa",
82868,"tucson, arizona, usa",
55042,"bloomington, indiana, usa",32.0
33220,"normal, illinois, usa",61.0
44736,"manchester, new hampshire, usa",
79701,"provo, utah, usa",
11893,"romney, west virginia, usa",57.0
91768,"boston, massachusetts, usa",
15100,"brooklyn, new york, usa",28.0
52332,"owings mills, maryland, usa",
63534,"san francisco, california, usa",48.0
34920,"san francisco, california, usa",48.0
30930,"albuquerque, new mexico, usa",29.0
29397,"north muskegon, michigan, united kingdom",14.0
69062,"lewisham, london, united kingdom",
76217,"clio, michigan,",50.0
65925,"flensburg, schleswig-holstein, germany",24.0
57357,"jackson, tennessee, usa",51.0
37164,"west columbia, texas, usa",23.0
68174,"collingswood, new jersey, usa",27.0
69847,"charlotte, north carolina, usa",
66756,"vienna, n/a, austria",30.0
28576,"marietta, georgia, usa",
75605,"chicago, illinois, usa",24.0
51309,"addis ababa, ethiopia, ethiopia",21.0
70338,"visalia, california, usa",
63295,"brooklyn, new york, usa",29.0
17812,"jacksonville, florida, usa",
64749,"winston salem, north carolina, usa",22.0
34638,"perth, western australia, australia",24.0
7796,"victoria, british columbia, canada",
60512,"new york, new york, usa",
58375,"madrid, delaware, spain",17.0
23025,"silver spring, maryland, usa",
56311,"fort worth, texas, usa",
67342,"marcellus, new york, usa",60.0
40148,"north east, pennsylvania, usa",18.0
64874,"minneapolis, minnesota, usa",26.0
77155,"ottawa, ontario, canada",
79062,"chico, california, usa",46.0
3420,"ucluelet, british columbia, canada",
38034,"champaign, illinois, usa",47.0
69223,"chelmsford, england, united kingdom",53.0
84878,"las palmas gc, las palmas, spain",34.0
37467,"barcelona, catalunya, spain",19.0
38800,"plano, texas, usa",32.0
56731,"olympia, washington, usa",26.0
17138,"framingham, massachusetts, usa",28.0
40647,"sg, sg, singapore",
11295,"windsor, ontario, canada",21.0
17190,"danbury, connecticut, usa",40.0
49825,"palma, illes balears, united kingdom",25.0
22482,"toronto, ontario, canada",55.0
39052,"el paso, texas, usa",33.0
23079,"independence, west virginia, usa",30.0
60828,"cedar rapids, iowa, usa",
83497,"perugia, umbria, italy",43.0
61615,"hollywood, florida, usa",29.0
60505,"prato, toscana, italy",
60730,"newington, connecticut, usa",25.0
14147,"hellin, albacete, spain",34.0
48207,"northridge, california, usa",16.0
13069,"albuquerque, new mexico, usa",14.0
83662,"woodland hills, california, usa",
6292,"chicago, illinois, usa",25.0
76508,"harrisburg, pennsylvania, usa",
18776,"hutchinson, kansas, usa",
53898,"coquitlam, british columbia, canada",26.0
70459,"paris, paris, france",
30658,"bolzano, trentino alto adige, italy",
59391,"lake luzerne, new york, usa",43.0
63211,"northville, new york, usa",48.0
23946,"euless, texas, usa",
83715,"frankfurt, hessen, germany",
74113,"bucharest, n/a, romania",33.0
51866,"provo, utah, usa",24.0
21386,"ottawa, ontario, canada",
12116,"kidderminster, worcestershire, england, united kingdom",54.0
27055,"kuala lumpur, n/a, malaysia",
2730,"glens falls, new york, usa",
57822,"washington dc, dc, usa",
77100,"kiel, n/a, germany",36.0
39862,"strasbourg, alsace, france",25.0
58388,"bellingham, washington, usa",22.0
71320,"sydney, nsw, australia",3.0
56773,"sackville, new brunswick, canada",
35936,"houston, texas, usa",
14487,"feucht, bayern, germany",43.0
329,"chelsea, michigan, usa",
27135,"westfield, massachusetts, usa",21.0
33392,"`s-hertogenbosch, noord brabant, netherlands",
30783,"binghamton, new york, usa",31.0
45376,"toronto, ontario, canada",
33064,"canyon city, oregon, usa",
21491,"fort wayne, indiana, usa",47.0
58446,"waukegan, illinois, usa",47.0
59115,"kent, ohio, usa",51.0
34834,"vancouver, british columbia, canada",
50028,"hualien, taiwan, taiwan",36.0
88347,"canberra, australian capital territory, australia",
84716,"baton rouge, louisiana, usa",
1948,"louisville, kentucky, usa",
64452,"london, england, united kingdom",23.0
51425,"daly city, ,",
35255,"beaufort, victoria, australia",
35826,"salem, oregon, usa",20.0
28261,"kansas city, missouri, usa",17.0
46271,"honolulu, hawaii, usa",
25763,"bozeman, montana, usa",42.0
78570,"new york, new york, usa",
59665,"wrightsville beach, north carolina, usa",54.0
18949,"ottawa, ontario, canada",
33051,"acworth, georgia, usa",34.0
50298,"wilmington, north carolina, usa",
27934,"karlsruhe, baden-württemberg, germany",28.0
20481,"grand rapids, michigan, usa",17.0
67235,"perth, western australia, australia",24.0
18081,"augsburg, bayern, germany",31.0
3875,"burgos, burgos, spain",
84212,"paris, paris, france",25.0
44286,"ames, iowa, usa",25.0
4259,"saint louis, missouri, usa",
35030,"leatherhead, england, united kingdom",19.0
77007,"phoenix, arizona, usa",27.0
69333,"niterói, rio de janeiro, brazil",32.0
5101,"rascafría, madrid, spain",59.0
7859,"sydney, new south wales, australia",34.0
83239,"wuppertal, nordrhein-westfalen, germany",31.0
78389,"colfax, illinois, usa",
75150,"bray, wicklow,",34.0
85156,"edson, alberta, canada",21.0
36818,"carcavelos, n/a, portugal",29.0
28292,"dafoe, saskatchewan, canada",42.0
14452,"oakland, california, usa",34.0
76771,"seabeck, washington, usa",31.0
45632,"omaha, nebraska, usa",27.0
49855,"longwood, florida, usa",15.0
67251,"frenchtown, new jersey, usa",49.0
67659,"bloomington, indiana, usa",
29249,"playa del rey, california, usa",
89533,"houston, ,",
53421,"venezia, veneto, italy",
88662,"philadelphia, missouri, usa",22.0
29448,"pennsauken, new york, usa",54.0
28552,"raleigh, north carolina, usa",
46000,"fieberbrunn, tirol, austria",31.0
72522,"pembroke pines, florida, usa",22.0
17516,"madrid, madrid, spain",35.0
9418,"bonn, nordrhein-westfalen, germany",29.0
66664,"minneapolis, minnesota, usa",25.0
62555,"dallas, texas, usa",
12417,"akron, ohio, usa",14.0
87678,"logroño, la rioja, spain",21.0
3294,"austin, texas, usa",
17334,"lynchburg, virginia, usa",
90449,"dudley, massachusetts, usa",28.0
75221,"arlington, massachusetts, usa",
90163,"tucson, arizona, usa",
38133,"minneapolis, minnesota, usa",43.0
89585,"roseville, california, usa",
62085,"new smyrna beach, florida, usa",
43884,"denver, colorado, usa",44.0
7745,"houston, texas, usa",
8848,"winnipeg, manitoba, canada",
66156,"charlotte, north carolina, usa",
38631,"escondido, california, usa",55.0
74621,"parrsboro, nova scotia, canada",
44375,"hartford, connecticut, usa",
35440,"high point, north carolina, usa",
31917,"george town, penang,",34.0
14651,"hammond, indiana, usa",
51920,"oakland, california, usa",35.0
69317,"irvine, california, usa",
73248,"salem, oregon, usa",45.0
19757,"crosswicks, new jersey, usa",
76675,"chesapeake, virginia, usa",33.0
63507,"lexington, massachusetts, usa",
38704,"las vegas, nevada, usa",35.0
12562,"los angeles, california, usa",
50314,"lawrenceville, georgia, usa",
48754,"grosse pointe, michigan, usa",1.0
35885,"madrid, madrid, spain",18.0
10939,"james island, south carolina, usa",58.0
89519,"zaragoza, aragón, spain",
61883,"kerns, obwalden, switzerland",
58661,"hollister, california, usa",
16654,"kassel, hessen, germany",29.0
16086,"quezon city, n/a, philippines",17.0
85544,"linden, new jersey, usa",
38363,"sunderland, massachusetts, usa",30.0
29926,"montreal, quebec, canada",15.0
50317,"burnaby, british columbia, canada",
1696,"montreal, quebec, canada",24.0
29430,"lenexa, kansas, usa",29.0
936,"n/a, travelling, canada",26.0
89527,"philadelphia, pennsylvania, usa",
86752,"launceston, tasmania, australia",25.0
19917,"woking, surrey, united kingdom",40.0
75136,"el cajon, california, usa",
84709,"münster, nordrhein-westfalen, germany",
72847,"stratham, new hampshire, usa",48.0
49122,"omaha, nebraska, usa",
59871,"aptos, california, usa",
31513,"cleveland, ohio, usa",
49369,"paris, ile de france, france",23.0
67118,"montreal, quebec, canada",
59452,"harpers ferry, west virginia, usa",44.0
17555,"50678 köln, nordrhein-westfalen, germany",
65210,"san diego, california, usa",34.0
76103,"ottawa, ontario, canada",
432,"embro, ontario, canada",
25999,"charlotte, north carolina, usa",
85643,"saskatoon, saskatchewan, canada",
82158,"charlottesville, virginia, usa",35.0
33578,"coruña, galicia, spain",22.0
57711,"mooresville, north carolina, usa",
50942,"prescott, arizona, usa",22.0
3241,"niskayuna, new york, usa",46.0
1430,"vancouver, washington, usa",30.0
30977,"jasper, missouri, usa",18.0
18319,"north chili, new york, usa",35.0
84900,"spring hill, tennessee, usa",30.0
7881,"brighton, massachusetts, usa",
56327,"el sobrante, california, usa",21.0
29818,"wenatchee, washington, usa",61.0
22930,"tampere, pirkanmaa, finland",34.0
89246,"holmrook, cumbria, united kingdom",71.0
71364,"florence, ,",21.0
35572,"albuquerque, new mexico, usa",
35923,"roanoke, virginia, usa",
15524,"cincinnati, ohio, usa",23.0
75049,"london, n/a, united kingdom",
53337,"atlantic beach, florida, usa",40.0
15496,"porto, porto, portugal",23.0
75017,"kuala lumpur, n/a, malaysia",13.0
8565,"ocean city, maryland, usa",
60597,"amersfoort, utrecht, netherlands",
23348,"appleton, minnesota, usa",
28596,"van buren, arkansas, usa",17.0
12914,"grove city, ohio, usa",34.0
84412,"upper darby, pennsylvania, usa",
21963,"st. louis, missouri, usa",29.0
33885,"london, england, united kingdom",55.0
20570,"günzburg, bayern, germany",
20575,"st. louis, missouri, usa",24.0
63074,"gelsenkirchen, nordrhein-westfalen, germany",24.0
63274,"bad dürrheim, baden-wuerttemberg, germany",18.0
39198,"ottawa, ontario, canada",
24604,"gatineau, quebec, canada",
54723,"philadelphia, pennsylvania, usa",35.0
33878,"bryan, texas, usa",23.0
1263,"haarlem, noord-holland, netherlands",38.0
37586,"mountain home, idaho, usa",42.0
70223,"lathrup village, michigan, usa",16.0
71408,"largo, florida, usa",18.0
35852,"norfolk, virginia, usa",20.0
50368,"bay village, ohio, usa",38.0
43275,"london, england, united kingdom",
16434,"london, ontario, canada",
50875,"pittsboro, north carolina, usa",40.0
27605,"hawley, pennsylvania, usa",64.0
622,"düsseldorf, nordrhein-westfalen, germany",
7618,"newtown, connecticut, usa",43.0
23699,"kent, ohio, usa",32.0
37385,"anderson, south carolina, usa",41.0
59709,"new york, new york, usa",
89911,"münchen, bayern, germany",48.0
17923,"lake city, florida, usa",37.0
70039,"edenhope, victoria, australia",
